         1570699 function calls (1560596 primitive calls) in 1.750 seconds
   Ordered by: standard name
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 axis.py:1388(get_major_locator)
       16    0.000    0.000    0.029    0.002 axis.py:1404(get_major_ticks)
       16    0.000    0.000    0.000    0.000 axis.py:1418(get_minor_ticks)
       16    0.000    0.000    0.018    0.001 axis.py:1432(grid)
       16    0.000    0.000    0.000    0.000 axis.py:1462(<dictcomp>)
       30    0.000    0.000    0.001    0.000 axis.py:1480(update_units)
       48    0.000    0.000    0.000    0.000 axis.py:1502(_update_axisinfo)
       28    0.000    0.000    0.000    0.000 axis.py:1536(have_units)
      148    0.000    0.000    0.001    0.000 axis.py:1539(convert_units)
       87    0.000    0.000    0.000    0.000 axis.py:154(<dictcomp>)
       48    0.000    0.000    0.000    0.000 axis.py:1556(set_units)
        8    0.000    0.000    0.000    0.000 axis.py:1582(set_label_text)
       64    0.000    0.000    0.000    0.000 axis.py:1603(set_major_formatter)
       64    0.000    0.000    0.000    0.000 axis.py:1619(set_minor_formatter)
       64    0.000    0.000    0.000    0.000 axis.py:1635(set_major_locator)
       64    0.000    0.000    0.000    0.000 axis.py:1653(set_minor_locator)
       24    0.000    0.000    0.000    0.000 axis.py:1818(_get_ticks_position)
       72    0.000    0.000    0.000    0.000 axis.py:1834(<genexpr>)
       24    0.000    0.000    0.000    0.000 axis.py:1855(get_label_position)
      142    0.000    0.000    0.001    0.000 axis.py:1881(getter)
       40    0.000    0.000    0.032    0.001 axis.py:1928(_get_tick)
        4    0.000    0.000    0.000    0.000 axis.py:1935(_get_label)
        4    0.000    0.000    0.000    0.000 axis.py:1953(_get_offset_text)
       87    0.000    0.000    0.000    0.000 axis.py:198(_set_labelrotation)
        4    0.000    0.000    0.025    0.006 axis.py:1985(_get_tick_boxes_siblings)
        4    0.000    0.000    0.026    0.006 axis.py:2004(_update_label_position)
        4    0.000    0.000    0.001    0.000 axis.py:2047(_update_offset_text_position)
       24    0.000    0.000    0.000    0.000 axis.py:2140(get_ticks_position)
       11    0.000    0.000    0.000    0.000 axis.py:2153(get_minpos)
       87    0.000    0.000    0.000    0.000 axis.py:216(get_tick_padding)
       16    0.000    0.000    0.013    0.001 axis.py:2179(get_tick_space)
       47    0.000    0.000    0.037    0.001 axis.py:2217(_get_tick)
        4    0.000    0.000    0.000    0.000 axis.py:2224(_get_label)
        4    0.000    0.000    0.000    0.000 axis.py:2244(_get_offset_text)
        4    0.000    0.000    0.016    0.004 axis.py:2279(_get_tick_boxes_siblings)
